V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
15,38,3,20,5,4,5,4,27,5
1,32,1,4,13,7,1,36,6,40
11,8,4,17,4,1,15,32,25,3
21,29,13,2,12,7,11,30,25,4
2,3,7,16,5,49,10,3,28,26
1,3,27,4,5,26,4,1,24,8
10,4,2,21,10,2,3,5,22,14
27,23,2,15,48,9,28,25,20,8
17,5,3,29,14,3,21,4,14,12
11,8,17,7,11,19,13,27,14,11
7,1,7,5,16,8,35,26,19,21
17,6,46,8,20,6,8,6,17,17
7,3,11,11,3,42,14,14,2,47
5,10,14,6,11,6,21,6,5,1
19,11,22,6,2,13,19,4,8,6
26,3,21,5,12,37,2,7,21,1
15,30,11,6,4,9,5,4,19,22
14,25,29,1,12,20,10,18,31,1
11,22,7,19,3,26,2,4,2,3
9,12,10,5,4,19,28,1,5,7
30,3,5,18,12,24,4,2,8,10
17,3,5,26,19,20,4,30,14,17
3,34,6,6,3,38,7,13,22,4
43,12,41,10,1,6,21,12,6,18
1,8,33,10,14,16,7,5,1,33
4,11,14,5,5,8,15,7,22,4
9,6,8,4,10,5,25,3,17,5
7,6,6,13,3,9,19,13,12,5
18,15,11,5,4,8,2,19,32,6
10,11,3,11,22,10,32,30,5,11
1,50,4,3,2,26,17,4,11,12
8,1,1,3,1,9,36,19,1,3
8,22,8,17,8,2,10,12,11,14
18,27,14,6,2,2,52,8,6,3
9,12,27,7,7,16,2,18,23,3
6,20,6,8,23,19,20,6,12,2
5,9,3,2,20,7,29,9,22,9
12,13,11,16,11,6,15,23,4,6
13,1,29,14,4,11,10,3,2,1
1,1,16,26,3,19,28,28,13,10
40,36,23,1,3,1,1,15,5,34
2,4,16,6,14,30,14,18,15,2
2,16,10,9,8,27,15,8,8,6
3,11,8,6,29,24,34,29,3,13
28,8,10,8,27,22,15,11,7,1
17,1,2,6,24,6,37,28,14,18
14,11,8,8,5,7,9,27,15,6
5,1,1,4,9,36,4,3,10,7
24,15,6,8,20,1,6,15,11,12
4,5,1,1,9,4,29,7,13,24
27,5,18,19,23,4,31,1,7,45
6,8,5,27,35,34,4,11,4,11
9,5,15,27,2,2,2,5,11,21
3,5,5,34,7,1,8,4,11,4
5,21,5,11,1,1,27,11,25,12
2,25,33,10,5,2,3,6,45,3
2,1,17,13,7,3,14,27,15,4
14,22,18,4,3,8,15,1,14,7
5,42,5,6,2,21,4,21,6,21
20,7,3,4,1,12,55,16,1,1
42,2,13,1,91,25,37,3,1,16
4,5,3,1,2,42,5,9,10,1
9,20,5,20,6,1,7,4,18,18
9,12,61,24,1,15,8,12,4,12
2,10,7,5,8,15,4,16,4,30
6,1,12,29,9,14,5,40,4,6
6,23,2,8,3,10,3,5,4,21
2,2,82,8,18,6,15,11,27,38
3,6,10,2,9,45,5,10,5,4
7,12,11,9,2,3,8,6,10,13
21,20,10,12,7,7,12,34,19,5
18,11,4,5,3,2,34,14,28,12
2,9,14,4,4,13,3,4,3,6
43,26,3,8,7,10,14,5,21,46
9,7,10,13,17,35,6,25,22,2
22,18,40,23,5,21,4,25,5,3
1,12,21,7,30,5,28,29,2,4
5,7,4,17,6,14,25,59,8,3
9,17,9,38,5,2,8,11,5,12
10,15,23,4,4,26,9,6,23,6
34,6,13,17,2,1,2,4,1,7
5,16,6,10,1,8,3,8,NA,NA
